NO POLISI,NOPOL LAMA,OPD,NAMA PEMILIK,JENIS_KB,MEREK_KB,TYPE_KB,TAHUN_KB,NOKA,NOSIN,AKHIR_PKB,AKHIR_STNK,LOKASI,STATUS_KB,STATUS_TAGIHAN,KETERANGAN
KTV     1,KTVP 1147,SEKRETARIAT DAERAH,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,B,TOYOTA,LAND CRUISER 200 VX-R 4X4 AT,2017,JTMHV02J0H4221449,1VD-0371101,10/21/2026,10/21/2027,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  1072,KTV- 1072,DINAS KESEHATAN,PEMKAB PENAJAM PASER UTARA,C,TOYOTA,KIJANG SUPER KF 83 LONG BENSIN,2003,MHF11KF8330069150,7K - 0569083,4/1/2027,4/1/2028,DINAS KESEHATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  1092,KTV- 1092,PENGELOLA (BKAD),PEMKAB PENAJAM PASER UTARA,C,TOYOTA,KIJANG GRAND LONG KF 83,2003,MHF11KF8330089324,7K - 0634831,12/8/2026,12/8/2028,PENGELOLA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  1099,KTV- 1099,SEKRETARIAT DAERAH,PEMKAB PENAJAM PASER UTARA,C,NISSAN,LIVINA 1.5 X-GEAR (4X2) MT,2008,MHBG2CG1F8J008174,HR15 - 931369A,12/23/2025,12/23/2028,PEMKAB PPU,HIBAH,TIDAK AKTIF,HIBAH
KTV  1101,KTV- 1101,PENGELOLA (BKAD),DINAS KESEHATAN PPU,C,FORD,RANGER SC 2.9L (4x4) MT,2007,MNBBSBE407W687523,WLAT - 829651,12/19/2025,12/19/2027,PENGELOLA,LELANG,TIDAK AKTIF,LELANG
KTVP 4079,KTV- 2851,BADAN KEUANGAN DAN ASET DAERAH,KANTOR DINAS PENDAPATAN DAERAH PPU,R,SUZUKI,UY 125 S AT,2010,MH8CF48CAAJ424147,F484-ID-424499,7/23/2025,7/23/2025,BADAN KEUANGAN DAN ASET DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  1108,KTV- 1108,SEKRETARIAT DAERAH,PEMKAB PENAJAM PASER UTARA,C,NISSAN,LIVINA 1.5 X-GEAR (4X2) MT,2008,MHBG2CG1F8JOO8183,HR15 - 931364A,12/23/2026,12/23/2028,SEKRETARIAT DAERAH,Pinjam Pakai,TIDAK AKTIF,PINJAM PAKAI
KTV  1116,KTVA 9005,PENGELOLA (BKAD),DINAS KESEHATAN PPU,C,TOYOTA,KIJANG STANDAR KF 60 SHORT,2006,MHF31KF6060048682,7K   0835223,4/27/2024,4/27/2022,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTV  1124,KTV- 1124,RSUD RATU AJI PUTRI BOTUNG,RSUD KAB.PPU,C,TOYOTA,KIJANG INNOVA G TGN40R-GKMDKD,2008,MHFXW42G682131145,1TR - 6680155,1/20/2027,1/20/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTV  1128,KTV- 1128,BADAN KEUANGAN DAN ASET DAERAH,PEMERINTAH KAB.PPU,C,TOYOTA,KIJANG INNOVA G TGN40R-GKMDKD,2008,MHFXW42G482131208,1TR - 6680573,1/28/2027,1/28/2029,BADAN KEUANGAN DAN ASET DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
